nUMIs	nGenes	cell_type
915	610	B
2652	839	B
3045	992	B
3505	926	T
6154	1820	B
2476	877	T
3277	1012	T
1052	568	B
1988	896	B
623	410	B
1562	670	T
2854	831	B
2102	832	B
948	520	B
4766	1183	B
1920	766	B
7053	1799	B
6067	1705	B
509	288	B
2980	1201	B
6708	1757	B
1568	555	B
4201	1174	B
1169	446	B
2819	806	B
4916	1327	B
2847	1054	T
3346	906	B
3375	950	B
995	560	B
6844	1979	B
3853	1006	B
3164	1167	B
3253	854	B
3166	943	B
2961	767	T
2818	1102	T
3300	878	T
3307	934	B
3124	864	B
1280	640	T
796	481	B
936	549	B
4183	1344	B
4661	1191	B
2282	735	B
3800	1162	B
1441	438	T
2194	903	B
4028	1098	T
1850	807	B
9205	2207	B
1331	693	B
2155	821	T
5407	1715	B
5497	1702	B
2250	675	B
1580	800	B
4338	1402	T
1007	363	B
3724	1185	B
979	439	B
885	367	B
2250	697	B
7099	2198	T
4149	1385	B
3646	1082	B
3424	1043	T
3795	1062	T
2202	829	T
630	376	B
884	482	B
533	389	B
3044	933	B
2667	789	B
2241	702	B
4916	1097	T
2648	872	B
6109	1774	B
20782	3464	T
1560	718	B
1458	637	B
1928	623	B
2387	727	T
675	456	B
3671	1455	B
1523	580	B
852	487	B
3087	1103	B
1189	503	B
2938	973	B
2424	708	B
1954	738	B
3386	978	B
3325	1038	B
3839	1028	B
2750	1101	B
3270	1037	B
2659	847	B
1871	792	B
4611	1533	B
575	430	T
2444	847	B
2289	933	B
2073	845	B
3036	877	B
2646	1081	B
1901	849	B
5369	1383	B
3287	1057	T
4945	1579	B
1844	878	B
705	488	B
593	59	B
3772	1087	B
10320	2498	B
1945	718	B
6748	1893	B
4447	1317	B
3722	1138	B
2812	882	B
2306	1060	B
3104	1124	B
3970	1279	B
14294	3096	T
929	485	B
4814	1297	T
2687	1082	B
6150	1486	T
1795	688	B
2290	966	B
3045	825	B
738	405	B
4329	1052	B
2276	971	B
2463	766	B
3538	989	B
2625	909	B
2778	1184	T
4068	1132	B
933	501	T
5630	1670	T
3687	1255	T
6590	1904	T
5893	1744	B
3787	1143	B
2359	828	B
751	446	B
2983	1319	B
1313	671	T
2284	998	B
3002	992	B
2479	794	B
4483	1477	B
3581	1162	B
2741	933	B
2401	960	B
8583	2145	B
2147	947	B
3871	1522	B
4561	1446	B
3252	983	B
2441	1023	B
1909	731	B
9496	2395	T
1085	588	B
2082	1038	B
2443	874	B
2708	825	B
4137	1047	B
1977	924	T
3069	954	T
2635	1075	B
3997	1096	B
2300	636	T
2474	597	B
3096	845	B
3244	815	B
3692	583	B
752	379	B
2400	777	B
3157	1100	B
736	497	B
619	365	B
3641	979	B
3208	853	B
737	486	B
2856	795	B
2328	1053	B
2600	961	B
2512	933	B
2404	983	B
1059	592	B
502	239	B
2156	660	B
2010	778	B
3960	1041	T
3540	1063	T
1336	519	B
2288	694	B
556	71	B
6539	1795	B
4803	1641	B
3907	1473	B
4404	1477	B
2890	1114	T
3826	1159	B
2975	883	B
1582	714	T
2082	958	B
1363	690	B
511	295	B
4269	1406	B
1488	642	B
4765	1443	B
1119	529	B
3251	1218	B
2350	760	B
3496	1180	B
1747	707	B
3409	986	B
4681	1558	T
2093	797	T
1265	577	B
4045	999	B
2522	1054	B
2796	1277	B
913	440	B
7931	2063	B
3634	1320	B
7668	2028	T
5217	1565	B
4273	1251	B
5611	801	B
6022	1740	B
10161	2385	T
5308	1172	B
1190	662	B
4063	1387	B
2116	704	B
2117	708	B
1349	744	B
1251	594	B
1489	685	B
1090	587	B
2561	788	B
2728	797	B
2915	882	B
3586	1207	T
3301	938	B
4024	1480	B
672	419	B
3118	1199	B
4221	1404	T
2784	788	B
3835	978	B
2619	1030	B
6540	1967	T
3655	1040	B
622	374	B
653	437	B
3941	1170	B
735	434	B
4044	1118	B
880	434	B
2426	759	B
2604	730	B
2838	778	B
1991	686	T
516	326	B
689	460	B
3894	1015	B
3603	981	B
1059	302	B
3455	1135	B
2303	1008	B
3039	1164	B
6511	1692	B
7177	1772	B
577	337	B
3300	776	B
1894	533	B
1096	484	B
1257	535	B
3798	1205	B
3545	1201	B
1276	510	B
850	486	B
2186	696	B
6088	1878	B
3077	1138	B
3030	1205	B
2213	901	B
1797	904	B
984	554	B
2861	986	T
7599	1602	T
11236	3003	T
2000	628	B
3592	1059	B
3455	1034	B
3790	1048	B
5760	1691	B
3577	1094	B
2952	902	B
5113	1588	B
708	420	B
1559	675	T
3745	1049	B
3648	975	T
3143	1051	T
4319	1484	B
4996	1275	B
2851	1172	B
4031	1060	T
5040	1294	T
2706	984	B
2163	666	B
3875	1067	B
2608	843	B
5089	1534	T
1137	536	B
1022	648	B
8836	2084	B
2859	903	T
6495	2043	B
595	348	B
2067	1073	T
3392	1291	B
11721	2685	T
6841	2119	B
4936	1380	B
2236	817	B
1881	845	B
1883	759	T
1110	594	B
3190	1168	B
4748	1334	B
864	371	B
953	488	B
13537	3055	T
765	450	B
4288	1440	B
1466	248	B
4848	1469	B
2644	963	B
1595	799	B
1887	718	B
1949	841	B
3758	1019	T
726	458	B
1038	520	B
3460	1163	B
1868	102	B
1734	759	T
12163	3051	T
2254	836	B
3093	911	T
8559	2192	T
1649	776	B
2829	926	B
4608	1398	T
3391	1269	T
1503	719	B
7793	1998	B
2520	814	B
4063	1170	B
3567	962	B
