nUMIs	nGenes	cell_type
2025	919	B
794	510	B
1781	705	B
2862	978	B
2286	641	B
2303	702	T
880	520	B
1620	755	T
1089	551	B
572	335	B
626	370	B
1706	616	B
1301	504	B
1632	745	B
1664	837	B
1246	613	T
2374	857	B
817	501	B
801	472	B
732	277	B
1828	925	T
902	515	B
3375	946	T
3766	1001	B
1387	599	B
2600	735	T
3039	1014	T
2490	1027	B
2091	868	B
784	328	B
2036	874	B
2199	749	T
2123	915	T
1191	634	B
2094	631	B
3210	1172	B
659	356	B
1685	747	B
3830	1306	T
2751	909	B
671	357	B
794	431	T
823	443	B
1409	531	B
2156	764	B
1975	850	B
688	387	B
514	333	B
1925	767	B
1949	1009	B
2720	972	T
2964	904	B
790	460	B
723	422	B
832	521	T
2258	835	B
2625	801	B
569	393	B
4545	1626	T
780	462	B
2484	888	B
2678	1058	B
1413	425	B
707	461	T
774	456	B
601	360	B
1048	643	B
3208	1160	B
1788	599	T
811	448	B
2035	658	B
6735	1700	T
617	408	B
1702	611	B
1565	677	B
2241	705	B
2773	1040	T
3203	975	B
2531	797	B
882	428	T
5060	1597	B
1203	593	B
1024	677	B
2543	649	B
1303	623	B
4749	1465	B
1464	799	B
844	450	B
3050	953	B
501	317	B
636	364	B
2820	890	B
1171	548	B
1516	665	B
624	399	B
2180	773	T
1792	688	B
5702	1636	B
4869	1606	B
1838	757	B
2351	827	B
2758	1036	T
3406	988	T
1894	416	B
567	345	B
2182	764	B
1959	728	B
962	489	B
2276	798	B
787	145	B
2370	709	B
593	373	T
1859	569	B
662	383	B
3892	1310	B
1024	227	B
3361	1174	B
2344	893	B
1287	651	B
651	374	B
2250	838	B
1078	549	T
1396	746	B
822	453	B
1012	409	B
2370	750	T
966	549	B
886	603	B
3328	1050	T
1778	772	B
983	583	B
856	513	B
546	378	B
2545	804	B
3608	1270	T
3086	968	T
1607	660	B
1750	752	B
827	172	B
1686	599	T
1819	633	T
1720	857	B
1729	827	B
2268	899	B
1943	763	T
2529	779	B
539	349	B
629	267	B
4016	1660	T
2091	751	T
1638	763	B
2007	709	T
593	403	B
1862	742	T
1507	692	B
634	377	B
611	338	B
1951	707	T
619	416	B
2687	866	T
2196	661	B
2145	794	B
1290	627	B
901	478	B
2048	641	B
2069	659	B
1847	665	B
1232	595	B
2464	763	B
2572	845	B
1907	848	B
1499	597	T
783	476	B
1884	652	B
807	474	B
2668	1123	T
2134	737	B
654	365	B
534	372	B
622	393	B
2217	779	B
1044	551	B
1847	730	T
1318	696	T
3465	1104	B
3920	1100	T
2363	758	B
799	431	B
2558	742	B
5703	1557	T
1680	829	B
2490	819	B
2100	708	B
2124	735	T
2206	650	T
589	388	B
2113	843	B
1930	714	B
3319	1226	B
3494	1258	T
682	389	B
1476	836	T
1337	613	B
3138	1116	B
530	371	B
1995	1012	B
2423	760	B
1792	601	B
3353	1200	B
674	419	B
2373	819	B
1695	743	B
2807	856	B
1778	841	B
2566	976	T
2761	1077	T
974	586	B
2496	916	B
3062	1101	T
2034	707	B
1992	838	B
610	434	B
619	440	B
2046	702	B
604	391	B
554	342	B
2509	1142	T
1790	658	B
2287	711	T
1662	606	T
679	476	B
681	366	B
2263	656	B
2221	808	B
2218	794	T
3213	960	B
3065	1143	B
2465	870	B
1292	690	B
2166	738	B
1409	712	B
1082	634	B
2814	770	B
653	424	B
2004	951	T
825	508	B
2289	702	T
2303	790	T
2456	834	B
4203	1314	B
584	356	B
1349	574	B
783	449	B
7029	1927	T
1651	588	B
562	332	B
3854	1409	B
821	394	B
2587	946	B
799	485	B
2142	817	T
2228	863	T
2445	865	B
721	319	B
1252	720	B
2495	760	B
802	520	B
2390	764	T
2773	914	B
4477	1355	T
777	498	B
2245	846	B
2483	1016	B
1309	616	T
2488	878	B
2318	739	B
1754	667	B
1006	630	B
2733	1027	T
3365	1191	B
687	453	B
924	572	B
1419	683	T
2434	794	B
668	430	B
2047	710	B
2734	1065	B
522	297	B
679	447	B
2279	794	B
1654	849	B
1839	660	B
616	390	B
1887	799	B
1198	425	B
1251	529	B
729	390	B
1808	746	B
2157	782	B
2448	719	T
3510	1046	B
1494	765	B
1744	572	B
602	341	B
2077	671	B
1082	585	B
1624	676	B
1647	797	B
1822	793	B
3601	1181	B
4913	1633	B
828	568	T
1630	787	B
1371	555	B
2953	860	B
576	403	B
1257	683	B
5163	1596	T
1132	621	T
761	405	B
2050	603	B
836	505	B
2726	896	B
1974	868	B
3884	1335	T
805	404	T
1979	758	B
523	336	B
1864	622	B
1902	682	B
2093	678	T
5728	1584	T
779	473	B
946	484	B
2271	650	B
1625	608	B
2880	1112	T
1594	649	B
735	470	B
1466	594	B
645	411	B
2677	932	B
3116	1151	B
583	373	B
1464	782	B
854	514	B
1100	635	B
1200	695	B
787	557	B
739	497	B
2140	728	B
3360	1007	B
2657	816	B
917	467	B
3622	1295	B
2174	795	B
1223	598	T
566	304	B
623	383	B
4677	1277	T
1045	713	T
2279	714	T
580	362	B
601	408	B
2158	701	T
531	353	B
5275	1741	T
1847	625	B
2913	911	B
572	354	T
811	328	B
1006	587	T
898	468	B
2383	1036	T
2329	797	B
1323	817	T
2193	728	B
2891	1090	T
1350	622	B
3985	1047	T
2268	761	B
750	458	B
3263	950	B
2457	825	T
583	367	B
3376	1071	T
1956	829	B
716	439	B
531	320	B
528	351	B
2351	846	B
734	426	B
2574	855	T
2670	1001	B
810	399	B
853	495	B
2230	819	B
1439	497	B
1726	644	B
2066	704	B
1893	833	B
2979	913	T
1218	715	B
827	537	B
1300	467	B
2068	863	B
1895	691	B
2482	767	B
1551	565	B
4386	1396	B
790	432	T
547	379	B
2498	760	B
708	400	B
2630	891	T
2672	903	B
1137	663	B
1008	613	B
1070	606	B
2724	755	B
2606	946	B
2268	906	B
507	339	B
584	370	T
505	357	B
507	314	B
2569	779	B
1438	418	B
536	244	B
2112	766	B
2835	981	T
2008	834	B
1956	718	B
1411	693	T
1989	694	T
2253	766	T
526	303	B
674	443	B
3804	823	B
1860	665	B
747	480	B
2052	748	B
3673	982	B
1752	677	T
1292	819	T
2665	813	B
1987	732	B
680	409	B
2464	984	T
908	541	B
2451	953	T
766	497	B
643	396	B
2380	825	B
1983	874	B
3305	1013	T
696	434	B
4120	1370	T
683	450	B
2004	725	B
2146	855	T
535	303	B
775	429	B
3431	1168	T
1835	748	T
1526	610	B
1951	668	B
884	583	B
2849	853	B
2192	769	B
2180	764	B
6738	1711	B
3591	1404	B
832	533	B
2308	913	T
2523	753	B
614	401	B
808	567	B
1572	480	B
1183	627	T
2441	743	T
520	334	B
2604	819	T
3691	1001	B
2622	802	B
2526	829	B
2316	755	B
3106	1180	T
1494	611	T
2441	877	T
867	513	B
1189	436	B
575	363	B
2345	692	B
620	421	T
1123	718	B
1269	499	T
633	392	B
